trade_date,td_year,td_month,td_day,td_weekday,td_week_number,td_year_week,open,high,low,close,volume,adj_close,return,short_ma,long_ma
2014-01-02,2014,1,2,Thursday,00,2014-00,12.02,12.02,11.85,11.91,7971600,11.91,0.0,11.91,11.91
2014-01-03,2014,1,3,Friday,00,2014-00,11.94,11.99,11.87,11.93,7278900,11.93,0.0016792611251048584,11.92,11.92
2014-01-06,2014,1,6,Monday,01,2014-01,12.49,12.55,12.2,12.33,14814100,12.33,0.03352891869237218,12.056666666666667,12.056666666666667
2014-01-07,2014,1,7,Tuesday,01,2014-01,12.35,12.49,12.35,12.44,8661300,12.44,0.008921330089213253,12.1525,12.1525
2014-01-08,2014,1,8,Wednesday,01,2014-01,12.51,12.93,12.44,12.79,14313600,12.79,0.02813504823151125,12.28,12.28
2014-01-09,2014,1,9,Thursday,01,2014-01,12.68,12.87,12.64,12.78,9473600,12.78,-0.0007818608287724071,12.363333333333332,12.363333333333332
2014-01-10,2014,1,10,Friday,01,2014-01,12.88,13.27,12.79,13.11,14994800,13.11,0.025821596244131495,12.469999999999999,12.469999999999999
2014-01-13,2014,1,13,Monday,02,2014-02,13.07,13.25,12.88,12.92,9197300,12.92,-0.01449275362318836,12.52625,12.52625
2014-01-14,2014,1,14,Tuesday,02,2014-02,12.91,13.2,12.91,13.18,8036200,13.18,0.020123839009287936,12.598888888888887,12.598888888888887
2014-01-15,2014,1,15,Wednesday,02,2014-02,13.19,13.5,13.17,13.34,14748200,13.34,0.012139605462822445,12.672999999999998,12.672999999999998
2014-01-16,2014,1,16,Thursday,02,2014-02,13.36,13.68,13.31,13.55,20084700,13.55,0.015742128935532396,12.752727272727272,12.752727272727272
2014-01-17,2014,1,17,Friday,02,2014-02,13.63,13.64,13.45,13.51,11156700,13.51,-0.002952029520295274,12.815833333333332,12.815833333333332
2014-01-21,2014,1,21,Tuesday,03,2014-03,13.74,14.02,13.63,13.98,20088100,13.98,0.03478904515173942,12.905384615384614,12.905384615384614
2014-01-22,2014,1,22,Wednesday,03,2014-03,13.98,14.08,13.73,13.87,11150200,13.87,-0.007868383404864177,12.974285714285713,12.974285714285713
2014-01-23,2014,1,23,Thursday,03,2014-03,13.78,13.88,13.55,13.65,12427100,13.65,-0.015861571737562974,13.098571428571429,13.019333333333332
2014-01-24,2014,1,24,Friday,03,2014-03,13.55,13.65,13.34,13.34,10551900,13.34,-0.02271062271062274,13.199285714285713,13.039375
2014-01-27,2014,1,27,Monday,04,2014-04,13.35,13.39,13.04,13.21,10145800,13.21,-0.009745127436281753,13.262142857142857,13.049411764705882
2014-01-28,2014,1,28,Tuesday,04,2014-04,13.26,13.36,13.21,13.28,7322500,13.28,0.005299015897047621,13.322142857142856,13.062222222222223
2014-01-29,2014,1,29,Wednesday,04,2014-04,13.13,13.38,13.08,13.18,8557700,13.18,-0.0075301204819276935,13.35,13.06842105263158
2014-01-30,2014,1,30,Thursday,04,2014-04,13.31,13.62,13.27,13.56,11052800,13.56,0.028831562974203306,13.405714285714286,13.093
2014-01-31,2014,1,31,Friday,04,2014-04,13.42,13.67,13.3,13.53,14001000,13.53,-0.0022123893805310324,13.435714285714287,13.113809523809524
2014-02-03,2014,2,3,Monday,05,2014-05,13.55,13.55,12.96,13.01,18772400,13.01,-0.03843311160384333,13.442142857142859,13.109090909090908
2014-02-04,2014,2,4,Tuesday,05,2014-05,13.1,13.49,12.6,12.85,29029700,12.85,-0.012298232129131503,13.418571428571429,13.097826086956522
2014-02-05,2014,2,5,Wednesday,05,2014-05,12.77,12.85,12.47,12.76,22160500,12.76,-0.007003891050583633,13.377142857142857,13.08375
2014-02-06,2014,2,6,Thursday,05,2014-05,12.76,12.96,12.73,12.83,13854800,12.83,0.005485893416927956,13.325714285714286,13.073599999999999
2014-02-07,2014,2,7,Friday,05,2014-05,12.92,13.18,12.88,13.1,15197400,13.1,0.02104442712392829,13.296428571428573,13.074615384615385
2014-02-10,2014,2,10,Monday,06,2014-06,13.05,13.1,12.88,12.91,11969000,12.91,-0.01450381679389312,13.22,13.06851851851852
2014-02-11,2014,2,11,Tuesday,06,2014-06,12.87,12.92,12.76,12.85,18535600,12.85,-0.004647560030983766,13.147142857142857,13.060714285714287
2014-02-12,2014,2,12,Wednesday,06,2014-06,12.83,13.04,12.83,12.96,9368100,12.96,0.008560311284046884,13.097857142857142,13.057241379310346
2014-02-13,2014,2,13,Thursday,06,2014-06,12.92,13.08,12.84,13.03,10309600,13.03,0.005401234567901092,13.075714285714286,13.056333333333333
2014-02-14,2014,2,14,Friday,06,2014-06,13.08,13.44,13.05,13.3,14839400,13.3,0.020721412125863425,13.082142857142857,13.064193548387097
2014-02-18,2014,2,18,Tuesday,07,2014-07,13.3,13.52,13.29,13.38,10683000,13.38,0.006015037593984918,13.089285714285714,13.0740625
2014-02-19,2014,2,19,Wednesday,07,2014-07,13.35,13.43,13.04,13.06,11679000,13.06,-0.02391629297458897,13.080714285714285,13.073636363636364
2014-02-20,2014,2,20,Thursday,07,2014-07,13.06,13.24,13.0,13.23,7949100,13.23,0.013016845329249627,13.057142857142855,13.078235294117647
2014-02-21,2014,2,21,Friday,07,2014-07,13.25,13.26,13.13,13.14,6452100,13.14,-0.006802721088435382,13.029285714285715,13.08
2014-02-24,2014,2,24,Monday,08,2014-08,13.14,13.24,13.07,13.08,6551700,13.08,-0.004566210045662156,13.034285714285716,13.08
2014-02-25,2014,2,25,Tuesday,08,2014-08,13.09,13.45,13.05,13.39,15637000,13.39,0.023700305810397504,13.072857142857144,13.088378378378378
2014-02-26,2014,2,26,Wednesday,08,2014-08,13.41,13.58,13.27,13.34,7316800,13.34,-0.0037341299477222645,13.114285714285716,13.094999999999999
2014-02-27,2014,2,27,Thursday,08,2014-08,13.34,13.41,13.23,13.3,8489700,13.3,-0.0029985007496251548,13.147857142857145,13.10025641025641
2014-02-28,2014,2,28,Friday,08,2014-08,13.28,13.34,12.98,13.1,10209100,13.1,-0.015037593984962516,13.147857142857145,13.100249999999999
2014-03-03,2014,3,3,Monday,09,2014-09,12.91,13.05,12.81,13.0,9447000,13.0,-0.007633587786259555,13.154285714285717,13.09780487804878
2014-03-04,2014,3,4,Tuesday,09,2014-09,13.12,13.26,13.11,13.23,13015200,13.23,0.017692307692307674,13.181428571428572,13.100952380952382
2014-03-05,2014,3,5,Wednesday,09,2014-09,13.25,13.48,13.22,13.38,9877400,13.38,0.01133786848072571,13.211428571428572,13.107441860465116
2014-03-06,2014,3,6,Thursday,09,2014-09,13.45,13.59,13.43,13.55,9379700,13.55,0.012705530642750373,13.248571428571429,13.1175
2014-03-07,2014,3,7,Friday,09,2014-09,13.61,13.74,13.36,13.7,16277700,13.7,0.011070110701106861,13.277142857142858,13.130444444444445
2014-03-10,2014,3,10,Monday,10,2014-10,13.73,13.84,13.43,13.46,8144900,13.46,-0.017518248175182327,13.282857142857143,13.137608695652174
2014-03-11,2014,3,11,Tuesday,10,2014-10,13.48,13.48,13.14,13.18,10491100,13.18,-0.0208023774145617,13.291428571428572,13.138510638297872
2014-03-12,2014,3,12,Wednesday,10,2014-10,13.11,13.16,12.82,12.88,20048800,12.88,-0.022761760242792084,13.266428571428573,13.133125
2014-03-13,2014,3,13,Thursday,10,2014-10,12.93,12.98,12.61,12.74,23579600,12.74,-0.010869565217391353,13.237857142857147,13.125102040816326
2014-03-14,2014,3,14,Friday,10,2014-10,12.75,13.21,12.68,13.01,19886300,13.01,0.02119309262166391,13.232857142857144,13.1228
2014-03-17,2014,3,17,Monday,11,2014-11,13.06,13.16,12.94,12.98,9973800,12.98,-0.002305918524212136,13.203571428571431,13.144200000000001
2014-03-18,2014,3,18,Tuesday,11,2014-11,13.0,13.27,12.96,13.21,6499400,13.21,0.017719568567026167,13.194285714285716,13.169800000000002
2014-03-19,2014,3,19,Wednesday,11,2014-11,13.23,13.38,13.04,13.15,8716600,13.15,-0.004542013626040897,13.18357142857143,13.186200000000001
2014-03-20,2014,3,20,Thursday,11,2014-11,13.1,13.18,13.04,13.1,7487000,13.1,-0.0038022813688213253,13.18357142857143,13.1994
2014-03-21,2014,3,21,Friday,11,2014-11,13.37,13.39,12.82,12.82,15490800,12.82,-0.021374045801526687,13.170714285714286,13.200000000000003
2014-03-24,2014,3,24,Monday,12,2014-12,13.05,13.14,12.69,12.84,11359200,12.84,0.0015600624024960652,13.142857142857144,13.201200000000004
2014-03-25,2014,3,25,Tuesday,12,2014-12,12.92,13.42,12.92,13.26,13773800,13.26,0.032710280373831724,13.134285714285715,13.204200000000004
2014-03-26,2014,3,26,Wednesday,12,2014-12,13.31,13.47,13.21,13.23,10501900,13.23,-0.002262443438914019,13.111428571428572,13.210400000000003
2014-03-27,2014,3,27,Thursday,12,2014-12,13.21,13.26,12.94,13.21,11154800,13.21,-0.0015117157974300355,13.076428571428574,13.211000000000006
2014-03-28,2014,3,28,Friday,12,2014-12,13.2,13.44,13.16,13.2,6161600,13.2,-0.0007570022710069457,13.057857142857143,13.208200000000007
2014-03-31,2014,3,31,Monday,13,2014-13,13.3,13.57,13.27,13.52,8554100,13.52,0.024242424242424176,13.082142857142857,13.207600000000006
2014-04-01,2014,4,1,Tuesday,13,2014-13,13.55,13.65,13.49,13.62,6763200,13.62,0.007396449704141883,13.135000000000002,13.209800000000007
2014-04-02,2014,4,2,Wednesday,13,2014-13,13.65,13.73,13.52,13.69,6616500,13.69,0.0051395007342143195,13.202857142857143,13.204000000000008
2014-04-03,2014,4,3,Thursday,13,2014-13,13.71,13.8,13.63,13.77,9393500,13.77,0.005843681519357213,13.257142857142858,13.202000000000007
2014-04-04,2014,4,4,Friday,13,2014-13,13.79,13.9,13.47,13.5,12360800,13.5,-0.019607843137254832,13.294285714285717,13.199000000000007
2014-04-07,2014,4,7,Monday,14,2014-14,13.46,13.55,13.16,13.22,8820500,13.22,-0.020740740740740726,13.295000000000002,13.196600000000007
2014-04-08,2014,4,8,Tuesday,14,2014-14,13.18,13.2,12.85,12.91,10181500,12.91,-0.02344931921331317,13.277857142857144,13.190600000000007
2014-04-09,2014,4,9,Wednesday,14,2014-14,12.98,13.59,12.88,13.54,15143200,13.54,0.048799380325329045,13.309285714285716,13.195800000000006
2014-04-10,2014,4,10,Thursday,14,2014-14,13.53,13.59,12.88,12.93,11188800,12.93,-0.045051698670605544,13.317142857142859,13.190800000000007
2014-04-11,2014,4,11,Friday,14,2014-14,12.81,12.84,12.48,12.69,25143100,12.69,-0.018561484918793503,13.306428571428572,13.173400000000008
2014-04-14,2014,4,14,Monday,15,2014-15,13.0,13.32,12.98,13.31,16741300,13.31,0.04885736800630425,13.310000000000002,13.169000000000008
2014-04-15,2014,4,15,Tuesday,15,2014-15,13.22,13.43,12.97,13.35,13631600,13.35,0.003005259203606281,13.318571428571431,13.175800000000008
2014-04-16,2014,4,16,Wednesday,15,2014-15,13.57,13.64,13.37,13.5,9740400,13.5,0.011235955056179803,13.339285714285717,13.188800000000008
2014-04-17,2014,4,17,Thursday,15,2014-15,13.48,13.71,13.43,13.65,8675900,13.65,0.011111111111111072,13.371428571428575,13.206600000000007
2014-04-21,2014,4,21,Monday,16,2014-16,13.62,13.72,13.5,13.72,9735400,13.72,0.00512820512820511,13.385714285714288,13.224400000000008
2014-04-22,2014,4,22,Tuesday,16,2014-16,13.75,13.8,13.63,13.75,8953000,13.75,0.0021865889212826506,13.395000000000001,13.237400000000006
2014-04-23,2014,4,23,Wednesday,16,2014-16,13.8,13.82,13.62,13.69,9002700,13.69,-0.004363636363636347,13.395000000000001,13.253000000000009
2014-04-24,2014,4,24,Thursday,16,2014-16,13.76,13.81,13.56,13.75,8433500,13.75,0.0043827611395179655,13.39357142857143,13.271000000000008
2014-04-25,2014,4,25,Friday,16,2014-16,13.72,13.72,13.33,13.38,10712200,13.38,-0.026909090909090883,13.385000000000002,13.279400000000008
2014-04-28,2014,4,28,Monday,17,2014-17,13.49,13.65,13.23,13.58,14544600,13.58,0.014947683109117982,13.410714285714288,13.290400000000009
2014-04-29,2014,4,29,Tuesday,17,2014-17,12.79,13.32,12.64,12.73,35508200,12.73,-0.0625920471281296,13.397857142857145,13.27900000000001
2014-04-30,2014,4,30,Wednesday,17,2014-17,12.74,12.74,12.37,12.61,27599000,12.61,-0.009426551453260101,13.331428571428573,13.263600000000011
2014-05-01,2014,5,1,Thursday,17,2014-17,12.64,12.74,12.5,12.6,14400500,12.6,-0.0007930214115781098,13.307857142857143,13.254400000000011
2014-05-02,2014,5,2,Friday,17,2014-17,12.61,12.82,12.57,12.81,17337600,12.81,0.01666666666666683,13.316428571428572,13.246000000000011
2014-05-05,2014,5,5,Monday,18,2014-18,12.75,13.15,12.72,13.07,14657200,13.07,0.020296643247462942,13.299285714285714,13.244600000000013
2014-05-06,2014,5,6,Tuesday,18,2014-18,13.04,13.08,12.85,12.95,11597500,12.95,-0.009181331293037553,13.270714285714286,13.242000000000012
2014-05-07,2014,5,7,Wednesday,18,2014-18,12.98,13.01,12.63,12.77,9748600,12.77,-0.013899613899613916,13.218571428571428,13.229600000000012
2014-05-08,2014,5,8,Thursday,18,2014-18,12.76,12.99,12.7,12.8,7198900,12.8,0.002349256068911565,13.157857142857143,13.21880000000001
2014-05-09,2014,5,9,Friday,18,2014-18,12.73,12.79,12.47,12.73,12957800,12.73,-0.005468750000000022,13.087142857142856,13.207400000000012
2014-05-12,2014,5,12,Monday,19,2014-19,12.8,12.94,12.72,12.93,9417000,12.93,0.01571091908876654,13.028571428571428,13.20400000000001
2014-05-13,2014,5,13,Tuesday,19,2014-19,12.94,13.02,12.78,12.8,8806600,12.8,-0.010054137664346374,12.965000000000002,13.20000000000001
2014-05-14,2014,5,14,Wednesday,19,2014-19,12.82,12.9,12.74,12.79,12604200,12.79,-0.0007812500000000666,12.896428571428572,13.191200000000007
2014-05-15,2014,5,15,Thursday,19,2014-19,12.78,12.78,12.56,12.69,12954800,12.69,-0.007818608287724738,12.847142857142858,13.17740000000001
2014-05-16,2014,5,16,Friday,19,2014-19,12.67,12.88,12.59,12.8,10994000,12.8,0.008668242710796026,12.791428571428572,13.162400000000009
2014-05-19,2014,5,19,Monday,20,2014-20,12.77,12.85,12.65,12.83,9444700,12.83,0.0023437499999998668,12.798571428571432,13.145000000000008
2014-05-20,2014,5,20,Tuesday,20,2014-20,12.81,12.82,12.47,12.62,11616700,12.62,-0.016367887763055422,12.799285714285718,13.128200000000009
2014-05-21,2014,5,21,Wednesday,20,2014-20,12.67,12.91,12.62,12.8,6774200,12.8,0.014263074484944571,12.813571428571434,13.120600000000008
2014-05-22,2014,5,22,Thursday,20,2014-20,12.78,12.83,12.63,12.68,14167900,12.68,-0.009375000000000022,12.80428571428572,13.116600000000007
2014-05-23,2014,5,23,Friday,20,2014-20,12.71,12.88,12.69,12.83,8081600,12.83,0.011829652996845352,12.787142857142864,13.118400000000008
2014-05-27,2014,5,27,Tuesday,21,2014-21,12.9,13.02,12.83,12.95,8627900,12.95,0.009353078721745955,12.787142857142864,13.11720000000001
2014-05-28,2014,5,28,Wednesday,21,2014-21,13.0,13.19,12.95,13.15,11588600,13.15,0.015444015444015635,12.81428571428572,13.120600000000008
2014-05-29,2014,5,29,Thursday,21,2014-21,13.15,13.17,12.95,12.99,13999300,12.99,-0.012167300380228174,12.82785714285715,13.116200000000008
2014-05-30,2014,5,30,Friday,21,2014-21,12.99,13.08,12.79,12.83,12815400,12.83,-0.012317167051578148,12.835000000000008,13.109800000000009
2014-06-02,2014,6,2,Monday,22,2014-22,12.86,12.95,12.73,12.88,6364000,12.88,0.0038971161340608518,12.831428571428578,13.105400000000008
2014-06-03,2014,6,3,Tuesday,22,2014-22,12.82,12.99,12.81,12.97,6046000,12.97,0.006987577639751441,12.843571428571435,13.108400000000008
2014-06-04,2014,6,4,Wednesday,22,2014-22,12.9,13.05,12.82,13.05,7743800,13.05,0.006168080185042335,12.862142857142866,13.112600000000008
2014-06-05,2014,6,5,Thursday,22,2014-22,12.96,13.19,12.96,13.18,8770700,13.18,0.009961685823754785,12.897142857142866,13.111000000000006
2014-06-06,2014,6,6,Friday,22,2014-22,13.19,13.2,13.06,13.13,6822600,13.13,-0.003793626707131903,12.920714285714293,13.109000000000005
2014-06-09,2014,6,9,Monday,23,2014-23,13.04,13.04,12.69,12.76,16697400,12.76,-0.028179741051028273,12.91571428571429,13.100000000000005
2014-06-10,2014,6,10,Tuesday,23,2014-23,12.77,12.86,12.47,12.84,24582700,12.84,0.006269592476489061,12.931428571428578,13.092800000000004
2014-06-11,2014,6,11,Wednesday,23,2014-23,12.79,12.91,12.62,12.87,17673200,12.87,0.002336448598130758,12.936428571428577,13.079800000000004
2014-06-12,2014,6,12,Thursday,23,2014-23,12.91,12.97,12.74,12.8,25173900,12.8,-0.005439005439005329,12.945000000000006,13.063400000000003
2014-06-13,2014,6,13,Friday,23,2014-23,12.79,12.95,12.76,12.8,11668100,12.8,0.0,12.942857142857148,13.045600000000002
2014-06-16,2014,6,16,Monday,24,2014-24,13.1,13.19,12.92,12.92,14078500,12.92,0.009374999999999911,12.940714285714291,13.0286
2014-06-17,2014,6,17,Tuesday,24,2014-24,12.8,12.8,12.28,12.6,37104600,12.6,-0.024767801857585203,12.901428571428577,13.010600000000002
2014-06-18,2014,6,18,Wednesday,24,2014-24,12.59,12.74,12.49,12.64,13569600,12.64,0.0031746031746031633,12.876428571428574,12.999
2014-06-19,2014,6,19,Thursday,24,2014-24,12.69,12.72,12.57,12.66,17818400,12.66,0.0015822784810126667,12.864285714285716,12.994000000000002
2014-06-20,2014,6,20,Friday,24,2014-24,12.69,12.74,12.45,12.71,12072300,12.71,0.003949447077409296,12.85214285714286,12.977400000000003
2014-06-23,2014,6,23,Monday,25,2014-25,12.72,12.75,12.6,12.62,7132600,12.62,-0.007081038552321117,12.82714285714286,12.971200000000003
2014-06-24,2014,6,24,Tuesday,25,2014-25,12.66,12.72,12.57,12.58,7790400,12.58,-0.0031695721077653616,12.79357142857143,12.969000000000003
2014-06-25,2014,6,25,Wednesday,25,2014-25,12.63,12.75,12.63,12.7,9018400,12.7,0.009538950715421324,12.759285714285715,12.956800000000005
2014-06-26,2014,6,26,Thursday,25,2014-25,12.7,12.72,12.59,12.63,14205200,12.63,-0.005511811023621971,12.72357142857143,12.942400000000005
2014-06-27,2014,6,27,Friday,25,2014-25,12.61,12.77,12.6,12.76,14360300,12.76,0.010292953285827355,12.72357142857143,12.927600000000005
2014-06-30,2014,6,30,Monday,26,2014-26,12.86,12.86,12.71,12.77,5759100,12.77,0.0007836990595611049,12.718571428571432,12.910000000000004
2014-07-01,2014,7,1,Tuesday,26,2014-26,12.78,13.03,12.77,12.99,8828700,12.99,0.017227877838684513,12.72714285714286,12.895400000000004
2014-07-02,2014,7,2,Wednesday,26,2014-26,12.96,13.14,12.92,13.13,7628200,13.13,0.010777521170130866,12.750714285714286,12.883000000000004
2014-07-03,2014,7,3,Thursday,26,2014-26,13.11,13.13,13.0,13.11,3812300,13.11,-0.0015232292460016783,12.772857142857143,12.871400000000003
2014-07-07,2014,7,7,Monday,27,2014-27,13.05,13.14,13.01,13.02,5929200,13.02,-0.006864988558352381,12.780000000000001,12.856800000000003
2014-07-08,2014,7,8,Tuesday,27,2014-27,13.05,13.06,12.93,13.0,9966000,13.0,-0.001536098310291778,12.80857142857143,12.849200000000003
2014-07-09,2014,7,9,Wednesday,27,2014-27,12.99,13.09,12.96,13.02,6304200,13.02,0.0015384615384614886,12.835714285714289,12.838000000000001
2014-07-10,2014,7,10,Thursday,27,2014-27,12.94,13.1,12.83,13.1,10079400,13.1,0.006144393241167334,12.867142857142861,12.845400000000001
2014-07-11,2014,7,11,Friday,27,2014-27,13.01,13.31,12.91,13.29,14815100,13.29,0.01450381679389312,12.908571428571431,12.859000000000002
2014-07-14,2014,7,14,Monday,28,2014-28,13.34,13.34,13.0,13.03,9524000,13.03,-0.019563581640331007,12.937857142857144,12.8676
2014-07-15,2014,7,15,Tuesday,28,2014-28,12.99,13.1,12.65,12.85,14605500,12.85,-0.013814274750575617,12.957142857142857,12.868400000000001
